Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0073,Tentacruel,,Indisponible,Indisponible,"Chenal 19, Chenal 20, Chenal 21 (Méga Canne)","Route 12, Route 13, Chenal 19, Route 32, Route 34, Chenal 40, Chenal 41, Ville Griotte, Irisia, Tourb'Îles (Surf), Chenal 20, Chenal 21, Route 26, Route 27, Bourg Geon, Oliville, Bourg Palette, Carmin sur Mer, Cramois'Île, Irisia, Caves Jumelles (Surf et Méga Canne)","Route 12, Route 13, Chenal 19, Route 32, Route 34, Chenal 40, Chenal 41, Ville Griotte, Irisia, Tourb'Îles (Surf), Chenal 20, Chenal 21, Route 26, Route 27, Bourg Geon, Oliville, Bourg Palette, Carmin sur Mer, Cramois'Île, Irisia, Caves Jumelles (Surf et Méga Canne)","Route 12, Route 13, Chenal 19, Route 32, Route 34, Chenal 40, Chenal 41, Ville Griotte, Irisia, Tourb'Îles (Surf), Chenal 20, Chenal 21, Route 26, Route 27, Bourg Geon, Oliville, Bourg Palette, Carmin sur Mer, Cramois'Île, Irisia, Caves Jumelles (Surf et Méga Canne)",Épave (Surf),Épave (Surf),Épave (Surf),"Île 1, Île 3, Grotte de Glace, Île 5, Île 6, Île 7, Route 11, Route 24 (Surf)","Île 1, Île 3, Grotte de Glace, Île 5, Île 6, Île 7, Route 11, Route 24 (Surf)","Route 205, Route 213, Route 218, Chenal 220, Route 221, Route 222, Chenal 223, Route 224, Chenal 226, Chenal 230, Verchamps, Joliberges, Rivamar, Les Éoliennes, Forge Fuego, Île de Fer (Surf)","Route 205, Route 213, Route 218, Chenal 220, Route 221, Route 222, Chenal 223, Route 224, Chenal 226, Chenal 230, Verchamps, Joliberges, Rivamar, Les Éoliennes, Forge Fuego, Île de Fer (Surf)","Route 205, Route 212, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Chenal 223, Route 224, Chenal 226, Chenal 230, Verchamps, Joliberges, Rivamar, Les Éoliennes, Forge Fuego, Île de Fer (Surf)","Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Route 34, Chenal 40, Chenal 41, Route 47, Bourg Geon, Ville Griotte, Caves Jumelles, Oliville, Tourb'Îles, Irisia, Bourg Palette, Carmin sur Mer, Cramois'Île (Surf et Méga Canne)","Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Route 34, Chenal 40, Chenal 41, Route 47, Bourg Geon, Ville Griotte, Caves Jumelles, Oliville, Tourb'Îles, Irisia, Bourg Palette, Carmin sur Mer, Cramois'Île (Surf et Méga Canne)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Chenal 124, Chenal 125, Chenal 126, Chenal 127, Chenal 128, Chenal 129, Chenal 130, Chenal 131, Chenal 132, Chenal 133, Grotte Tréfonds, Caverne Fondmer, Algatia, Route Victoire, Éternara, Atoll de Combat (Surf)","Chenal 124, Chenal 125, Chenal 126, Chenal 127, Chenal 128, Chenal 129, Chenal 130, Chenal 131, Chenal 132, Chenal 133, Grotte Tréfonds, Caverne Fondmer, Algatia, Route Victoire, Éternara, Atoll de Combat (Surf)",Sur l'eau : Prairie de Poni,Sur l'eau : Prairie de Poni,"Sur l'eau : Routes 14 et 15, Récif de Poni","Sur l'eau : Routes 14 et 15, Récif de Poni","Sur l'eau : Routes 4, 10, 12, 13, 18, 19, 20, 21, 24 et Îles Écume","Sur l'eau : Routes 4, 10, 12, 13, 18, 19, 20, 21, 24 et Îles Écume","Surf : Plage de l'Épreuve, Plaine Salutation, Îlot Calméole, Mer Calméole, Mer Isol'Îlots, Lagune Circulaire, Mer Align'Îlots, Mer Eau-Hisse, Caverne Pugnacité, Expédition Dynamax","Surf : Plage de l'Épreuve, Plaine Salutation, Îlot Calméole, Mer Calméole, Mer Isol'Îlots, Lagune Circulaire, Mer Align'Îlots, Mer Eau-Hisse, Caverne Pugnacité, Expédition Dynamax","Surf : Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Chenal 223, Route 224, Chenal 226, Chenal 230, Verchamps, Joliberges, Rivamar, Parc Éolien, Forge Fuego, Île de Fer, Ligue Pokémon, Grotte des Eaux Souterraines, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne du Marais Sans Fond","Surf : Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Chenal 223, Route 224, Chenal 226, Chenal 230, Verchamps, Joliberges, Rivamar, Parc Éolien, Forge Fuego, Île de Fer, Ligue Pokémon, Grotte des Eaux Souterraines, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne du Marais Sans Fond",??,Zone Côtière,Zone Côtière,
0074,Racaillou,,"Mont Sélénite, Grotte, Route Victoire","Mont Sélénite, Grotte, Route Victoire","Mont Sélénite, Grotte, Route Victoire","Route 45, Route 46, Mont Sélénite, Antre Noir, Caves Jumelles, Mont Creuset, Grotte","Route 45, Route 46, Mont Sélénite, Antre Noir, Caves Jumelles, Mont Creuset, Grotte","Route 33, Route 45, Route 46, Mont Sélénite, Antre Noir, Caves Jumelles, Mont Creuset, Grotte","Grotte Granite, Parc Safari, Route Victoire, Route 111, Route 114","Grotte Granite, Parc Safari, Route Victoire, Route 111, Route 114","Grotte Granite, Parc Safari, Route Victoire, Planque Magma, Route 111, Route 114","Mont Sélénite, Route Victoire, Caverne Azurée, Île 1, Île 7","Mont Sélénite, Route Victoire, Caverne Azurée, Île 1, Île 7","Chemin Rocheux, Entrée Charbourg, Grotte Revêche, Grotte Ruineman., Île de Fer, Mine Charbourg, Mont Couronné, Rive Lac Courage, Route 206, Route 207, Route 210, Route 211, Route 214, Route 215","Chemin Rocheux, Entrée Charbourg, Grotte Revêche, Grotte Ruineman., Île de Fer, Mine Charbourg, Mont Couronné, Rive Lac Courage, Route 206, Route 207, Route 210, Route 211, Route 214, Route 215","Chemin Rocheux, Entrée Charbourg, Grotte Revêche, Grotte Ruineman., Île de Fer, Mine Charbourg, Mont Couronné, Route 206, Route 207, Route 214","Route 45, Route 46, Ruines d'Alpha, Caves Jumelles, Mont Creuset, Antre Noir, Grotte Falaise, Mont Sélénite, Grotte Sombre, Route Victoire, Parc Safari, Pokéwalker (Chemin Pierreux, Sente du Volcan)","Route 45, Route 46, Ruines d'Alpha, Caves Jumelles, Mont Creuset, Antre Noir, Grotte Falaise, Mont Sélénite, Grotte Sombre, Route Victoire, Parc Safari, Pokéwalker (Chemin Pierreux, Sente du Volcan)",Indisponible,Indisponible,Indisponible,Indisponible,"Route 18, Grotte Coda, Route Victoire (Horde)","Route 18, Grotte Coda, Route Victoire (Horde)","Grotte Granite (RDC seul et Horde), Grotte Granite, Tunnel Mérazon (Éclate-Roc)","Grotte Granite (RDC seul et Horde), Grotte Granite, Tunnel Mérazon (Éclate-Roc)",À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Mont Sélénite, Grotte Sombre, Route Victoire et Caverne Azurée","Mont Sélénite, Grotte Sombre, Route Victoire et Caverne Azurée",Incompatible,Incompatible,"Route 206, Route 207, Route 210, Route 211, Route 214, Route 215, Mine de Charbourg, Mont Couronné, Chemin Rocheux, Entrée de Charbourg, Mont Abrupt, Grotte des Égarés, Grotte du Ruinophile, Île de Fer, Rive du Lac Courage, Grotte Spacieuse, Grotte des Rochers, Grotte du Magma, Caverne du Piton, Caverne Typhlosion","Route 206, Route 207, Route 210, Route 211, Route 214, Route 215, Mine de Charbourg, Mont Couronné, Chemin Rocheux, Entrée de Charbourg, Mont Abrupt, Grotte des Égarés, Grotte du Ruinophile, Île de Fer, Rive du Lac Courage, Grotte Spacieuse, Grotte des Rochers, Grotte du Magma, Caverne du Piton, Caverne Typhlosion",??,Coteau Pomme,Coteau Pomme,
0074,Racaillou,Alola,,,,,,,,,,,,,,,,,,,,,,,,,"Route 12, Mont Ardent","Route 12, Mont Ardent",Faire reproduire Gravalanch ou Grolem,Faire reproduire Gravalanch ou Grolem,Échange au Centre Pokémon de Carmin sur Mer,Échange au Centre Pokémon de Carmin sur Mer,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Zone Canyon,Zone Canyon,
0075,Gravalanch,,Route Victoire,Route Victoire,"Route Victoire, Caverne Azurée","Route 45, Route Victoire, Antre Noir, Mont Creuset, Grotte Argentée","Route 45, Route Victoire, Antre Noir, Mont Creuset, Grotte Argentée","Route 45, Route Victoire, Antre Noir, Mont Creuset, Grotte Argentée",Route Victoire (Eclate Roc),Route Victoire (Eclate Roc),"Planque Magma, Route Victoire*",Caverne Azurée (Éclate-Roc),Caverne Azurée (Éclate-Roc),"Route 211, Route 214, Route 216, Route 227, Route Victoire, Mont Couronné, Mont Abrupt, Île de Fer","Route 211, Route 214, Route 216, Route 227, Route Victoire, Mont Couronné, Mont Abrupt, Île de Fer","Route 211, Route 214, Route 216, Route 225, Route 227, Route Victoire, Mont Couronné, Mont Abrupt, Île de Fer, Source Adieu","Route 45, Mont Argenté, Mont Creuset, Antre Noir, Grotte Falaise, Route Victoire, Parc Safari","Route 45, Mont Argenté, Mont Creuset, Antre Noir, Grotte Falaise, Route Victoire, Parc Safari",Antre d'Entraînement,Antre d'Entraînement,Indisponible,Indisponible,"Route 18, Grotte Coda, Route Victoire (Marche et Éclate-Roc), Route Victoire (Marche, Éclate-Roc, Embuscade, Horde)","Route 18, Grotte Coda, Route Victoire (Marche et Éclate-Roc), Route Victoire (Marche, Éclate-Roc, Embuscade, Horde)","Nénucrique, Grotte Tréfonds, Mirages (Éclate-Roc)","Nénucrique, Grotte Tréfonds, Mirages (Éclate-Roc)",À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Grotte Sombre, Route Victoire et Caverne Azurée","Grotte Sombre, Route Victoire et Caverne Azurée",Incompatible,Incompatible,"Route 211, Route 214, Route 216, Route 227, Route Victoire, Mont Couronné, Mont Abrupt, Île de Fer, Temple de Frimapic, Rive du Lac Courage, Grotte Spacieuse, Grotte des Rochers, Grotte du Magma, Caverne du Piton, Caverne Typhlosion","Route 211, Route 214, Route 216, Route 227, Route Victoire, Mont Couronné, Mont Abrupt, Île de Fer, Temple de Frimapic, Rive du Lac Courage, Grotte Spacieuse, Grotte des Rochers, Grotte du Magma, Caverne du Piton, Caverne Typhlosion",??,Grotte Douche Froide,Grotte Douche Froide,
0075,Gravalanch,Alola,,,,,,,,,,,,,,,,,,,,,,,,,"Route 17*, Échange interne, Village Toko*","Route 17*, Échange interne, Village Toko*","Routes 12 et 17, Mont Ardent","Routes 12 et 17, Mont Ardent",Faire évoluer Racaillou d'Alola (niveau 25),Faire évoluer Racaillou d'Alola (niveau 25),Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Zone Canyon,Zone Canyon,
0076,Grolem,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,Faire évoluer Gravalanch par Échange,Faire évoluer Gravalanch par Échange,Incompatible,Incompatible,Faire évoluer Gravalanch (Échange),Faire évoluer Gravalanch (Échange),??,Septentria (Raid 5 et 6*),Septentria (Raid 5 et 6*),
0076,Grolem,Alola,,,,,,,,,,,,,,,,,,,,,,,,,Faire évoluer Gravalanch d'Alola par Échange,Faire évoluer Gravalanch d'Alola par Échange,Faire évoluer Gravalanch d'Alola par Échange,Faire évoluer Gravalanch d'Alola par Échange,Faire évoluer Gravalanch d'Alola par Échange,Faire évoluer Gravalanch d'Alola par Échange,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Terra-Dôme (Raid 6*),Terra-Dôme (Raid 6*),
0077,Ponyta,,Manoir Pokémon,Manoir Pokémon,Route 17,"Route 22, Route 26, Route 27, Route 28, Mont Argenté","Route 22, Route 26, Route 27, Route 28, Mont Argenté","Route 22, Route 26, Route 27, Route 28, Mont Argenté (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route Tison, Mont Braise","Route Tison, Mont Braise","Route 206, Route 210, Route 211, Route 214, Route 215","Route 206, Route 210, Route 211, Route 214, Route 215","Route 206, Route 207, Route 210","Route 22, Route 26, Route 27, Route 28, Mont Argenté, Parc Safari, Pokéwalker (Chemin Pierreux, Sente du Volcan)","Route 22, Route 26, Route 27, Route 28, Mont Argenté, Parc Safari, Pokéwalker (Chemin Pierreux, Sente du Volcan)",Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Feu, position 1 (1566-2154-0841)","Safari des Amis Feu, position 1 (1566-2154-0841)","Route 112, Sentier Sinuroc (Navi-Dex)","Route 112, Sentier Sinuroc (Navi-Dex)",À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,Route 17 (Hautes herbes),Route 17 (Hautes herbes),Échange,Échange contre un Ponyta de Galar à Régiona,"Route 206, Route 210, Route 211, Route 214, Route 215, Grotte du Magma, Grotte des Sables Ardents, Caverne Typhlosion","Route 206, Route 210, Route 211, Route 214, Route 215, Grotte du Magma, Grotte des Sables Ardents, Caverne Typhlosion",??,,,
0077,Ponyta,Galar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Échange,"Forêt de Lumirinth, Cimetière Ancien",Incompatible,Incompatible,Incompatible,,,
0078,Galopa,,Indisponible,Indisponible,Indisponible,"Route 28, Mont Argenté, Échange interne contre un Ortide à Argenta","Route 28, Mont Argenté, Échange interne contre un Ortide à Argenta","Route 28, Mont Argenté (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route Tison, Mont Braise","Route Tison, Mont Braise",Indisponible,Indisponible,Indisponible,"Route 28, Mont Argenté","Route 28, Mont Argenté",Route 12,Route 12,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,Route 17 (Hautes herbes),Route 17 (Hautes herbes),Échange,Faire évoluer Ponyta (Niveau 40),Faire évoluer Ponyta (Niveau 40),Faire évoluer Ponyta (Niveau 40),??,,,
0078,Galopa,Galar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Échange,Cimetière Ancien,Incompatible,Incompatible,Incompatible,,,
0079,Ramoloss,,"Route 10, Céladopole, Parc Safari (Méga Canne),Îles Écume","Route 10, Céladopole, Parc Safari (Méga Canne), Îles Écume","Route 12, Route 13 (Surf), Îles Écume","Puits Ramoloss, Chutes Tohjo (Marche et Surf)","Puits Ramoloss, Chutes Tohjo (Marche et Surf)","Puits Ramoloss, Chutes Tohjo (Marche et Surf)",Indisponible,Indisponible,Indisponible,Indisponible,"Quasi-totalité des routes, villes et lieux avec un point d'eau (Méga Canne), Plage Trésor, Route Tison, Pont du Lien, Pré de l'Île 5, Vallée Ruine, Agualcanal, Grotte de Glace, Îles Écume, Entrée Canyon (Marche/Hautes Herbes)",Indisponible,Route 205 (Poké Radar),Route 205 (Poké Radar),"Puits Ramoloss, Chutes Tohjo, Parc Safari, Pokéwalker (Jolie Plage)","Puits Ramoloss, Chutes Tohjo, Parc Safari, Pokéwalker (Jolie Plage)",Autel Abondance (Surf),Autel Abondance (Surf),"Autel Abondance (Surf, Troupeau)","Autel Abondance (Surf, Troupeau)","Route 12, Baie Azur, Baie Azur (Horde)","Route 12, Baie Azur, Baie Azur (Horde)","Grotte Mirage (Nord d'Autéquia, Sud du Chenal 131)","Grotte Mirage (Nord d'Autéquia, Sud du Chenal 131)","Routes 15 et 16, Abords d'Ekaeka, Baie de Kala'e","Routes 15 et 16, Abords d'Ekaeka, Baie de Kala'e","Routes 15 et 16, Abords d'Ekaeka, Baie de Kala'e","Routes 15 et 16, Abords d'Ekaeka, Baie de Kala'e",Îles Écume,Îles Écume,"Récompense de la Quête des Taupiqueur d'Alola, après avoir retrouvé 10 Taupiqueur d'Alola","Récompense de la Quête des Taupiqueur d'Alola, après avoir retrouvé 10 Taupiqueur d'Alola",Échange,"Route 205 (Poké Radar), Grotte Spacieuse, Grotte de la Prairie, Grotte des Eaux Souterraines, Grotte Éblouissante, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne de la Nuit Étoilée",Incompatible,Zone Est 1,Zone Est 1,Zone Sauvage 10
0079,Ramoloss,Galar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaine Salutation,Plaine Salutation,Incompatible,Incompatible,Incompatible,Zone Côtière,Zone Côtière,Hyperspace Lumiose
0080,Flagadoss,,"Route 23, Caverne Azurée (Méga Canne), Îles Écume","Route 23, Caverne Azurée (Méga Canne), Îles Écume","Route 12, Route 13 (Surf), Îles Écume",Puits Ramoloss (Surf Sous-Sol 2),Puits Ramoloss (Surf Sous-Sol 2),Puits Ramoloss (Surf Sous-Sol 2),Indisponible,Indisponible,Indisponible,Indisponible,"Bois Baies, Caverne Azurée (Surf), Cap Falaise, Îles Écume",Indisponible,Indisponible,Indisponible,"Puits Ramoloss (Sous-Sol 2), Îles Écume (Surf)","Puits Ramoloss (Sous-Sol 2), Îles Écume (Surf)",Autel Abondance (Surf tourbillon),Autel Abondance (Surf tourbillon),Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Intrusion* (Ramoloss*),Intrusion* (Ramoloss*),Intrusion* (Ramoloss*),Intrusion* (Ramoloss*),Îles Écume,Îles Écume,Expédition Dynamax,Expédition Dynamax,Échange,Faire évoluer Ramoloss (Niveau 37),Incompatible,Zone Ouest 2,Zone Ouest 2,Zone Sauvage 11
0080,Flagadoss,Galar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faire évoluer Ramoloss de Galar en lui donnant un Bracelet Galanoa,Faire évoluer Ramoloss de Galar en lui donnant un Bracelet Galanoa,Incompatible,Incompatible,Incompatible,Terra-Dôme (Raid 6*),Terra-Dôme (Raid 6*),Hyperspace Lumiose
0081,Magnéti,,Centrale,Centrale,"Route 10, Centrale","Route 6, Route 11, Route 38, Route 39","Route 6, Route 11, Route 38, Route 39","Route 6, Route 11, Route 38, Route 39",New Lavandia,New Lavandia,New Lavandia,Centrale,Centrale,Forge Fuego (Poké Radar),Forge Fuego (Poké Radar),Forge Fuego,"Route 6, Route 11, Route 38, Route 39, Parc Safari, Pokéwalker (Coin Résidentiel)","Route 6, Route 11, Route 38, Route 39, Parc Safari, Pokéwalker (Coin Résidentiel)",Indisponible,Forêt Blanche (avec Noémie dans la forêt),Z.I. d'Ondes-sur-Mer,Z.I. d'Ondes-sur-Mer,Indisponible,Indisponible,"New Lavandia, Route 110, New Lavandia (Horde)","New Lavandia, Route 110, New Lavandia (Horde)","Ekaeka, Abords d'Ekaeka*, Cap Passiloin","Ekaeka, Abords d'Ekaeka*, Cap Passiloin","Ekaeka, Abords d'Ekaeka*, Cap Passiloin","Ekaeka, Abords d'Ekaeka*, Cap Passiloin",Centrale abandonnée,Centrale abandonnée,Plage de l'Épreuve,Plage de l'Épreuve,"Forge Fuego (troupeau), Grotte Spacieuse, Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier","Forge Fuego (troupeau), Grotte Spacieuse, Grotte du Blizzard, Grotte des Stalactites, Caverne du Glacier",??,Zone Est 2,Zone Est 2,
0082,Magnéton,,"Centrale, Caverne Azurée","Centrale, Caverne Azurée",Centrale,Indisponible,Indisponible,Échange interne contre un Triopikeur à la Centrale,New Lavandia,New Lavandia,New Lavandia,Centrale,Centrale,Indisponible,Indisponible,"Route 222, Route Victoire, Faire évoluer Magnéti au N.30","Caverne Azurée, Parc Safari","Caverne Azurée, Parc Safari",Indisponible,Indisponible,"Labo P2, Trouée Cachée (Route 9)","Labo P2, Trouée Cachée (Route 9)",Hôtel Désolation,Hôtel Désolation,Indisponible,Indisponible,Faire évoluer Magnéti (niveau 30),Faire évoluer Magnéti (niveau 30),Faire évoluer Magnéti (niveau 30),Faire évoluer Magnéti (niveau 30),Centrale abandonnée,Centrale abandonnée,"Route de l'Épreuve, Plaine des Efforts, Expédition Dynamax","Route de l'Épreuve, Plaine des Efforts, Expédition Dynamax",Faire évoluer Magnéti (Niveau 30),Faire évoluer Magnéti (Niveau 30),??,Mont Nappé,Mont Nappé,
0083,Canarticho,,Échange contre un Piafabec à Carmin sur Mer,Échange contre un Piafabec à Carmin sur Mer,"Route 12, Route 13","Route 38, Route 39 (Matin et Jour)","Route 38, Route 39 (Matin et Jour)",Route 43 (Matin et Jour),Indisponible,Indisponible,Indisponible,Échange contre un Piafabec à Carmin sur Mer,Échange contre un Piafabec à Carmin sur Mer,Route 221 (Essaim),Route 221 (Essaim),Route 221 (Essaim),"Route 38, Route 39, Route 47, Route 48, Parc Safari (Matin et Jour)","Route 38, Route 39, Route 47, Route 48, Parc Safari (Matin et Jour)",Route 1 (Troupeau),Route 1 (Troupeau),Route 1 (Troupeau),Route 1 (Troupeau),"Route 22, Échange interne contre un Sapereau à Neuvartault","Route 22, Échange interne contre un Sapereau à Neuvartault",Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,Hautes herbes : Routes 12 et 13,Hautes herbes : Routes 12 et 13,Échange contre un Canarticho de Galar à Régiona,Échange,"Route 221 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Grotte des Eaux Souterraines, Caverne Ensoleillée","Route 221 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Grotte des Eaux Souterraines, Caverne Ensoleillée",Incompatible,,,Hyperspace Lumiose
0083,Canarticho,Galar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Route 5, Miroir du Géant",Échange,Incompatible,Incompatible,Incompatible,,,Hyperspace Lumiose
0084,Doduo,Mâle,"Route 16, Route 17, Route 18, Parc Safari","Route 16, Route 17, Route 18, Parc Safari","Route 16, Route 17, Route 18","Route 22, Route 26, Route 27, Route 28, Mont Argenté (Matin et Jour)","Route 22, Route 26, Route 27, Route 28, Mont Argenté (Matin et Jour)","Route 22, Route 26, Route 27, Route 28, Mont Argenté (Matin et Jour)",Parc Safari,Parc Safari,Parc Safari,"Route 16, Route 17, Route 18, Parc Safari","Route 16, Route 17, Route 18, Parc Safari",Route 201 (Essaim),Route 201 (Essaim),Route 201 (Essaim),"Route 22, Route 27, Route 28, Mont Argenté, Parc Safari, Pokéwalker (Plaine Sereine) (Matin et Jour), Route 26","Route 22, Route 27, Route 28, Mont Argenté, Parc Safari, Pokéwalker (Plaine Sereine) (Matin et Jour), Route 26",Route 12 (Troupeau),Route 12 (Troupeau),Route 12 (Troupeau),Route 12 (Troupeau),Route 5,Route 5,Parc Safari (Hautes herbes et Horde),Parc Safari (Hautes herbes et Horde),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Hautes herbes : Routes 16, 17 et 18","Hautes herbes : Routes 16, 17 et 18",Incompatible,Incompatible,"Route 201 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Caverne Ensoleillée","Route 201 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Caverne Ensoleillée",Incompatible,Zone Savane,Zone Savane,
0084,Doduo,Femelle,,,,,,,,,,,,Route 201 (Essaim),Route 201 (Essaim),Route 201 (Essaim),"Route 22, Route 26*, Route 27, Route 28, Mont Argenté, Parc Safari, Pokéwalker* (Matin et Jour)","Route 22, Route 26*, Route 27, Route 28, Mont Argenté, Parc Safari, Pokéwalker* (Matin et Jour)",Route 12 (Troupeau),Route 12 (Troupeau),Route 12 (Troupeau),Route 12 (Troupeau),Route 5,Route 5,Parc Safari (Hautes herbes et Horde),Parc Safari (Hautes herbes et Horde),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Hautes herbes : Routes 16, 17 et 18","Hautes herbes : Routes 16, 17 et 18",Incompatible,Incompatible,"Route 201 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Caverne Ensoleillée","Route 201 (troupeau), Grotte Spacieuse, Grotte de la Prairie, Caverne Ensoleillée",Incompatible,Zone Savane,Zone Savane,
0085,Dodrio,Mâle,Caverne Azurée,Caverne Azurée,Route 17,"Route 26, Route 28, Mont Argenté (Matin et Jour)","Route 27, Route 28, Mont Argenté (Matin et Jour)","Route 27, Route 28, Mont Argenté (Matin et Jour), Échange interne contre un Draco femelle à Ébènelle",Parc Safari,Parc Safari,Parc Safari,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Route 26, Route 28, Mont Argenté, Parc Safari (Matin et Jour)","Route 27, Route 28, Mont Argenté, Parc Safari (Matin et Jour)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Hautes herbes : Routes 16, 17 et 18","Hautes herbes : Routes 16, 17 et 18",Incompatible,Incompatible,Faire évoluer Doduo (Niveau 31),Faire évoluer Doduo (Niveau 31),Incompatible,Zone Savane,Zone Savane,
